epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5,time
0,6.126992755466038,"[3.5e-07, 3.5e-07]",5.3676829457846305,0.6093011688634667,2.561551852772942,1638883454.6786883
1,5.534529474046495,"[1.428e-05, 1.428e-05]",5.290948108368565,0.5346928624720219,2.934593384730167,1638883612.160855
2,5.335226482815212,"[2.821e-05, 2.821e-05]",5.274949095374285,0.845560805769709,3.1211141507087787,1638883769.7873733
3,5.312806959505434,"[4.2140000000000006e-05, 4.2140000000000006e-05]",5.2740689505098235,0.845560805769709,3.1335488684406863,1638883925.5548425
4,5.313062296973334,"[5.6070000000000004e-05, 5.6070000000000004e-05]",5.274248671039542,0.845560805769709,3.1211141507087787,1638884081.1528854
5,5.308850924173991,"[6.959063732478832e-05, 6.959063732478832e-05]",5.273604591519523,0.845560805769709,3.2330266102959464,1638884237.7239525
6,5.3005199079160334,"[6.94110510867289e-05, 6.94110510867289e-05]",5.2727050174086045,0.845560805769709,2.947028102462074,1638884394.6503422
7,5.300142482474998,"[6.919923233446334e-05, 6.919923233446334e-05]",5.27178212820194,0.845560805769709,3.220591892564039,1638884551.5480251
8,5.2949657970004615,"[6.895539010752698e-05, 6.895539010752698e-05]",5.267484378885849,0.845560805769709,3.3449390698831136,1638884707.7804496
9,5.306160308696605,"[6.867976504875835e-05, 6.867976504875835e-05]",5.257274309873166,0.845560805769709,4.874409350907734,1638884864.1439989
10,5.297665472383852,"[6.837262916681385e-05, 6.837262916681385e-05]",5.226775250248695,1.9522506839094753,6.52822680925143,1638885020.2890325
11,5.273118248692265,"[6.8034285567728e-05, 6.8034285567728e-05]",4.986159576286993,2.5491171350410347,11.788112409848296,1638885176.5098696
12,5.137166358806469,"[6.766506815578436e-05, 6.766506815578436e-05]",4.433627751181298,8.219348420790848,24.471524496393933,1638885333.288961
13,4.8900646103752985,"[6.726534130399237e-05, 6.726534130399237e-05]",3.5204356814225317,22.444665506093013,52.4993782641134,1638885489.447056
14,4.536514264565927,"[6.683549949449514e-05, 6.683549949449514e-05]",2.794075245585675,39.80353145983586,71.46232280527232,1638885646.077214
