epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5,time
0,5.465343379974366,"[3.5e-08, 3.5e-08]",5.431778833707283,0.5005177770107008,2.623403520883673,1638970387.4177146
1,5.391992139816284,"[7.0314999999999995e-06, 7.0314999999999995e-06]",5.305121677597515,0.5522954780807732,2.77873662409389,1638970500.6771438
2,5.31281270980835,"[1.4028e-05, 1.4028e-05]",5.23502491801864,1.173627890921643,5.574732481877804,1638970614.601844
3,5.256228613853454,"[2.10245e-05, 2.10245e-05]",4.91072661373835,5.1432516396272,16.361753538142906,1638970728.4777062
4,4.943293786048889,"[2.8020999999999998e-05, 2.8020999999999998e-05]",3.502764174145668,29.616845012081463,59.87228167069382,1638970842.0204644
