epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5
0,6.20749530690239,"[1.8000000000000002e-07, 1.8000000000000002e-07]",5.42414297117708,0.44874007594062826,2.519848118743528
1,5.6252665098975685,"[9.162e-06, 9.162e-06]",5.319867535381429,0.535036244390749,2.5025888850535036
2,5.375380524977006,"[1.8144e-05, 1.8144e-05]",5.299992449085261,0.5868139454608216,2.4853296513634793
3,5.351423155177724,"[2.7126e-05, 2.7126e-05]",5.294435784863652,0.5868139454608216,2.5543665861235763
4,5.341331277939087,"[3.6108e-05, 3.6108e-05]",5.289655786158095,1.3462202278218847,3.1411805315843977
5,5.3336852030320605,"[4.5090000000000004e-05, 4.5090000000000004e-05]",5.2729197229892995,1.0873317224715222,4.556437694166379
6,5.3182013940046176,"[5.4072e-05, 5.4072e-05]",5.112230863824646,1.7604418363824645,9.630652399033483
7,5.089638173261428,"[6.3054e-05, 6.3054e-05]",3.4518042641094238,28.270624784259578,59.68243010010355
8,4.521046032880079,"[7.2036e-05, 7.2036e-05]",2.242676961080428,51.53607179841215,83.15498791853642
9,4.270929256862497,"[8.1018e-05, 8.1018e-05]",1.7298717558034173,61.64998274076631,89.88608905764585
