epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5,time
0,6.144508715598814,1.4e-07,5.414535780548843,0.535036244390749,2.9168104936140837,1640157338.6230373
1,5.641198404373661,7.126e-06,5.324055596306524,0.6040731791508457,2.519848118743528,1640157546.3856297
2,5.370893032320084,1.4112e-05,5.3020365895754225,0.535036244390749,2.7096996893337937,1640157754.0657883
3,5.3628814758793,2.1097999999999997e-05,5.294423649464964,0.6903693476009665,2.865032792544011,1640157960.9123986
4,5.347994096817509,2.8083999999999997e-05,5.291852293320677,0.7766655160510874,3.175698998964446,1640158170.4401085
5,5.331894243917158,3.507e-05,5.279993312046945,0.9665170866413532,4.867103900586814,1640158379.1040094
6,5.330579326998803,4.2056e-05,5.240004476613739,1.0873317224715222,6.938211943389714,1640158587.0076647
7,5.29446021972164,4.9042e-05,4.973801022609596,2.7959958577839146,14.01449775629962,1640158793.8602998
8,5.091197782947171,5.6028e-05,3.4301715675699,28.11529168104936,59.45806006213324,1640159001.7283502
9,4.536488863729661,6.301399999999999e-05,2.4793489223765963,47.11770798430017,79.27166035671583,1640159209.208387
10,4.2618531257875505,6.832123850892376e-05,1.8302085805358992,62.27131517204203,89.35105283168994,1640159417.0851552
11,3.969721140400056,6.797221037512993e-05,1.5027016431329825,68.91612013480068,92.8201588033848,1640159625.7831538
12,3.851910345015987,6.759133346596701e-05,1.2985935915656281,73.1446323888566,94.54608217238722,1640159834.6843398
13,3.7371910079833,6.717898366096055e-05,1.2015632416076976,75.47462894491052,95.20193305260813,1640160042.3265846
14,3.616997872629473,6.673556789958447e-05,1.0484773782684673,78.73662411232509,95.77148776437893,1640160250.408895
15,3.543088459199475,6.626152377966101e-05,1.0519073981435536,79.92751123693675,96.08215397079937,1640160459.1152213
16,3.415053952124811,6.57573191255045e-05,0.9426808882302813,81.22195376368856,96.63444944888013,1640160667.802912
17,3.4883819164768344,6.522345152623526e-05,0.8667230681793666,82.01587851342967,96.61719021519012,1640160876.105712
18,3.3956210690159954,6.466044784471911e-05,0.845744545475384,81.98136004604963,96.49637557935995,1640161084.564925
19,3.383956763052171,6.406886369761746e-05,0.8100124118161028,82.55091475782042,96.97963412268062,1640161293.0546298
20,3.2229194487294843,6.344928290706069e-05,0.8443349852082974,83.51743184446177,96.97963412268062,1640161501.1567543
21,3.2528334125395744,6.280231692448617e-05,0.7707175694953832,84.20780119206275,97.18674492696091,1640161709.4221554
22,3.1599002576643422,6.212860422720957e-05,0.8381155091069425,82.99965483376106,97.01415259006068,1640161916.8952641
23,3.043568465017503,6.142880968832477e-05,0.8134444542576372,83.8280980508822,96.92785642161056,1640162124.9759517
24,3.1856592778236634,6.070362392055442e-05,0.7921059147259017,83.89713498564231,97.01415259006068,1640162332.2325227
25,3.0862598649917112,5.995376259469858e-05,0.7536655645926821,84.50120816479316,96.99689335637065,1640162539.9202948
26,3.2049596924935617,5.917996573335402e-05,0.7978840078367708,84.70831896907345,97.06593029113074,1640162747.7836792
27,2.9401531950120003,5.8382996980601257e-05,0.7428712538698438,84.05246808885252,97.15222645958086,1640162956.6782293
