epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5
0,6.1541038990020756,"[7.5e-07, 7.5e-07]",5.408253689161201,0.4659993096306524,2.4853296513634793
1,5.575732254981995,"[1.5675e-05, 1.5675e-05]",5.3157590287366245,0.7594062823610632,2.5716258198136
2,5.3549721240997314,"[3.06e-05, 3.06e-05]",5.297910554021401,0.6213324128408698,2.77873662409389
3,5.353225207328796,"[4.5525e-05, 4.5525e-05]",5.291521940800829,0.5522954780807732,2.882292026234035
4,5.356106162071228,"[6.045e-05, 6.045e-05]",5.285470421988264,0.6040731791508457,3.7970314118053157
5,5.340969681739807,"[7.5375e-05, 7.5375e-05]",5.246428147652744,1.6396272005522954,7.369692785640318
6,5.2717690706253055,"[9.030000000000001e-05, 9.030000000000001e-05]",4.64601042026234,5.281325509147394,24.525371073524337
7,4.8579442501068115,"[0.00010522500000000001, 0.00010522500000000001]",2.9973767313168795,36.84846392820159,70.0724887814981
8,4.431105089187622,"[0.00012015, 0.00012015]",1.820799601419572,60.079392474974114,87.76320331377286
9,4.16112505197525,"[0.000135075, 0.000135075]",1.5821581239078142,64.15257162581982,91.87090093199862
10,4.056202077865601,"[0.0001495946202572522, 0.0001495946202572522]",1.3774902849391613,69.26130479806696,92.95823265447014
11,3.7507696866989138,"[0.00014950958465442932, 0.00014950958465442932]",1.2045831018618398,72.16085605799103,94.52882292026234
12,3.6763312816619873,"[0.00014941648789727137, 0.00014941648789727137]",1.1839706215481534,74.93959268208492,95.2191922678633
13,3.7650283575057983,"[0.00014931534019488682, 0.00014931534019488682]",1.0328561705805575,76.30307214359682,95.2191922678633
14,3.617037296295166,"[0.00014920615263926113, 0.00014920615263926113]",0.9333405920995858,76.87262685536763,96.15119088712461
15,3.3521074771881105,"[0.00014908893720404017, 0.00014908893720404017]",0.93369393024438,80.11736278909217,96.2202278218847
16,3.353833258152008,"[0.00014896370674321737, 0.00014896370674321737]",0.885657408256386,80.9975837072834,96.53089402830514
17,3.356761085987091,"[0.00014883047498972387, 0.00014883047498972387]",0.9578944645053072,80.46254746289264,96.32378322402485
18,3.3354327201843263,"[0.00014868925655392296, 0.00014868925655392296]",0.9197377371796255,80.7904729030031,96.37556092509493
19,3.4009775280952455,"[0.00014854006692200742, 0.00014854006692200742]",0.8670388413660683,81.30824991370383,96.15119088712461
20,3.070795500278473,"[0.0001483829224543016, 0.0001483829224543016]",0.8002275302980454,82.4301001035554,96.58267172937522
21,3.2178452134132387,"[0.0001482178403834673, 0.0001482178403834673]",0.8537452705654557,81.27373144632378,96.47911632723508
22,3.077874553203583,"[0.00014804483881261386, 0.00014804483881261386]",0.8096475071194339,81.68795305488436,96.75526406627546
23,3.1485759615898132,"[0.00014786393671331307, 0.00014786393671331307]",0.7611377467193973,81.94684156023473,96.70348636520538
24,3.2579631090164183,"[0.00014767515392351868, 0.00014767515392351868]",0.8447581651007507,81.9295823265447,96.46185709354505
25,3.118428409099579,"[0.00014747851114539103, 0.00014747851114539103]",0.8265251499395927,81.82602692440456,96.94511563686572
26,3.0303774237632752,"[0.00014727402994302668, 0.00014727402994302668]",0.7286572046513635,83.41387642388678,96.68622713151537
27,2.965273451805115,"[0.0001470617327400938, 0.0001470617327400938]",0.7555536303719365,83.31032102174663,96.77252329996548
28,3.0066781401634217,"[0.00014684164281737297, 0.00014684164281737297]",0.756628708712677,83.1377286848464,96.96237487055575
29,3.007177102565765,"[0.00014661378431020448, 0.00014661378431020448]",0.8010781880366543,83.10321021746634,96.7207455988954
30,3.0790936827659605,"[0.00014637818220584136, 0.00014637818220584136]",0.7287485993727347,83.27580255436659,96.80704176734552
31,2.859262228012085,"[0.00014613486234070933, 0.00014613486234070933]",0.7068379263570073,84.15602347255782,96.91059716948567
