epoch,eval_loss,eval_top1,eval_top5,train_loss,train_lr
0,5.428341819123231,0.5005177770107008,2.6061442871936484,5.464073181152344,"[1.4e-07, 1.4e-07]"
1,5.3065293838453576,0.535036244390749,3.1239212978943733,5.391364574432373,"[7.126e-06, 7.126e-06]"
2,5.223922376596479,1.070072488781498,6.109768726268554,5.305658650398255,"[1.4112e-05, 1.4112e-05]"
3,4.84299356014843,5.747324818778046,18.795305488436313,5.244136619567871,"[2.1097999999999997e-05, 2.1097999999999997e-05]"
4,3.521455384880911,29.63410424577149,59.69968933379358,4.92866883277893,"[2.8083999999999997e-05, 2.8083999999999997e-05]"
5,2.406332251035554,52.916810493614086,84.44943044528823,4.398659777641297,"[3.507e-05, 3.507e-05]"
6,1.8246839402830515,66.10286503279255,91.09423541594754,3.9533386707305906,"[4.2056e-05, 4.2056e-05]"
7,1.4624968987314464,71.72937521574042,93.49326889886089,3.6792603135108948,"[4.9042e-05, 4.9042e-05]"
8,1.2402121267690716,76.16499827407664,95.02934069727304,3.6298506021499635,"[5.6028e-05, 5.6028e-05]"
9,1.1122387855432343,77.78736624093891,95.87504314808423,3.5250268459320067,"[6.301399999999999e-05, 6.301399999999999e-05]"
10,0.9767023941793235,79.54780807732136,95.99585778391439,3.486486029624939,"[6.832123850892376e-05, 6.832123850892376e-05]"
11,0.9124364829861711,80.82499137038316,96.53089402830514,3.187896728515625,"[6.797221037512993e-05, 6.797221037512993e-05]"
12,0.8896040253117449,80.47980669658267,96.3583016914049,3.1847822427749635,"[6.759133346596701e-05, 6.759133346596701e-05]"
13,0.8118592678039782,82.44735933724543,96.68622713151537,3.29540011882782,"[6.717898366096055e-05, 6.717898366096055e-05]"
14,0.7543646562580902,83.0686917500863,96.84156023472558,3.2224259257316588,"[6.673556789958447e-05, 6.673556789958447e-05]"
15,0.7833490447418666,83.20676561960649,96.78978253365551,2.963714039325714,"[6.626152377966101e-05, 6.626152377966101e-05]"
16,0.7088096968914502,84.82913358646876,97.04867103900587,2.9872274518013002,"[6.57573191255045e-05, 6.57573191255045e-05]"
17,0.7262239308039566,84.19054193993787,97.27304107697618,3.0426464319229125,"[6.522345152623526e-05, 6.522345152623526e-05]"
18,0.7257505238447101,84.60476354849844,97.27304107697618,3.0059360384941103,"[6.466044784471911e-05, 6.466044784471911e-05]"
19,0.6809828273995728,85.34691059716948,97.18674490852607,3.100274896621704,"[6.406886369761746e-05, 6.406886369761746e-05]"
20,0.6976221866100708,85.22609596133931,97.34207801173628,2.737305557727814,"[6.344928290706069e-05, 6.344928290706069e-05]"
21,0.6804852760533526,85.81290990680014,97.30755954435622,2.9140468001365663,"[6.280231692448617e-05, 6.280231692448617e-05]"
22,0.6778623023278392,85.38142906454954,97.46289264756645,2.808123695850372,"[6.212860422720957e-05, 6.212860422720957e-05]"
23,0.6569836438422291,85.46772523299965,97.4283741801864,2.8561973452568052,"[6.142880968832477e-05, 6.142880968832477e-05]"
24,0.6731448346349672,85.64031756989989,97.25578184328616,2.9565470695495604,"[6.070362392055442e-05, 6.070362392055442e-05]"
25,0.6877164778151428,86.19261304798067,97.34207801173628,2.827117496728897,"[5.995376259469858e-05, 5.995376259469858e-05]"
26,0.6331679239164437,85.77839143942009,97.30755954435622,2.807271683216095,"[5.917996573335402e-05, 5.917996573335402e-05]"
27,0.6520166420138289,85.08802209181913,97.2212633759061,2.7234222650527955,"[5.8382996980601257e-05, 5.8382996980601257e-05]"
28,0.660216484557031,86.45150155333103,97.3593372454263,2.7325001657009125,"[5.756364284838006e-05, 5.756364284838006e-05]"
29,0.6474740841819123,86.434242319641,97.48015188125648,2.7369652509689333,"[5.67227119402971e-05, 5.67227119402971e-05]"
30,0.6178920694495383,86.39972385226096,97.4283741801864,2.7878650426864624,"[5.586103415363184e-05, 5.586103415363184e-05]"
31,0.6242336580001941,86.34794615119088,97.4283741801864,2.6035893678665163,"[5.497945986032809e-05, 5.497945986032809e-05]"
32,0.6377620782611861,85.98550224370038,97.34207801173628,2.677534818649292,"[5.407885906777958e-05, 5.407885906777958e-05]"
