epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5
0,6.146424913406372,"[9e-07, 9e-07]",5.403048951501553,0.3797031411805316,2.5543665861235763
1,5.644759106636047,"[9.810000000000001e-06, 9.810000000000001e-06]",5.327709699689334,0.7248878149810148,2.5716258198136
2,5.373116040229798,"[1.8720000000000004e-05, 1.8720000000000004e-05]",5.303370135053504,0.6731101139109423,2.7269589230238176
3,5.358160614967346,"[2.7630000000000005e-05, 2.7630000000000005e-05]",5.294315779254401,0.6903693476009665,2.8995512599240594
4,5.360695743560791,"[3.6540000000000006e-05, 3.6540000000000006e-05]",5.290348852260959,0.7766655160510874,3.503624439074905
5,5.345221400260925,"[4.545000000000001e-05, 4.545000000000001e-05]",5.277621515792199,1.2254055919917155,5.384880911287539
6,5.321970343589783,"[5.436000000000001e-05, 5.436000000000001e-05]",5.2170051993441495,1.9502934069727305,7.766655160510873
7,5.2438459396362305,"[6.327000000000001e-05, 6.327000000000001e-05]",4.497087504314808,10.11391094235416,30.773213669313083
8,4.862536692619324,"[7.218e-05, 7.218e-05]",2.757977002071108,44.25267518122195,75.30203658957542
9,4.405963861942292,"[8.109e-05, 8.109e-05]",1.987232043655074,58.87124611667242,88.0738695201933
10,4.166386091709137,"[8.975896339620403e-05, 8.975896339620403e-05]",1.5056204593383242,68.84708318950639,92.68208491542975
11,3.8304258704185488,"[8.970840168641745e-05, 8.970840168641745e-05]",1.2769164828378494,73.90403866068347,94.287193648602
12,3.733261263370514,"[8.965304685783703e-05, 8.965304685783703e-05]",1.20491480275932,75.716258198136,95.2191922678633
13,3.750904309749603,"[8.959290498074352e-05, 8.959290498074352e-05]",1.0313412683109682,78.58129099068002,96.0648947186745
14,3.6150978446006774,"[8.95279826503715e-05, 8.95279826503715e-05]",0.958799036280797,79.82395581636176,96.5654124956852
15,3.347402572631836,"[8.945828698618607e-05, 8.945828698618607e-05]",0.9669071048714187,80.8595098377632,96.5654124956852
16,3.378568983078003,"[8.938382563110223e-05, 8.938382563110223e-05]",0.8608175955190714,82.17121159820503,96.91059716948567
17,3.3419617891311644,"[8.930460675064664e-05, 8.930460675064664e-05]",0.861450869501316,82.51639627200552,96.77252329996548
18,3.348954939842224,"[8.922063903206231e-05, 8.922063903206231e-05]",0.8314646996421405,82.22298929927511,96.68622713151537
19,3.396184813976288,"[8.913193168335576e-05, 8.913193168335576e-05]",0.833211375385636,82.94787711425613,96.97963410424578
20,3.0397348523139955,"[8.903849443228745e-05, 8.903849443228745e-05]",0.7580874847633328,83.53469105971695,97.20400414221609
21,3.213709807395935,"[8.894033752530489e-05, 8.894033752530489e-05]",0.8928944881019157,83.77632033137729,97.04867103900587
22,3.0551846861839294,"[8.883747172641905e-05, 8.883747172641905e-05]",0.7461004076145582,84.01794960303762,97.25578184328616
23,3.128057825565338,"[8.8729908316024e-05, 8.8729908316024e-05]",0.7518211104024638,84.86365205384881,97.16948567483604
24,3.2096322894096376,"[8.861765908965977e-05, 8.861765908965977e-05]",0.7958439124795047,84.10424577148774,96.68622713151537
25,3.0734819769859314,"[8.8500736356719e-05, 8.8500736356719e-05]",0.7713302385819382,84.4321712115982,97.23852260959613
26,3.0281652331352236,"[8.837915293909696e-05, 8.837915293909696e-05]",0.6835498434533569,84.91542975491888,97.27304107697618
27,2.977869427204132,"[8.82529221697855e-05, 8.82529221697855e-05]",0.7053731247438082,84.82913358646876,97.39385571280636
28,2.9718462586402894,"[8.812205789141097e-05, 8.812205789141097e-05]",0.6903966522480152,84.94994822229893,97.34207801173628
29,2.971438992023468,"[8.798657445471618e-05, 8.798657445471618e-05]",0.699789872200768,85.64031756989989,97.41111494649637
30,3.03175151348114,"[8.784648671698677e-05, 8.784648671698677e-05]",0.7274052781568218,85.12254055919917,97.29030031066621
31,2.8237726211547853,"[8.770181004042178e-05, 8.770181004042178e-05]",0.6675699462469257,85.51950293406972,97.25578184328616
32,2.9027468085289003,"[8.755256029044917e-05, 8.755256029044917e-05]",0.7214398448287022,85.46772523299965,97.13496720745599
33,2.8653488397598266,"[8.739875383398594e-05, 8.739875383398594e-05]",0.6556719252270667,85.86468760787021,97.4283741801864
34,2.7763596057891844,"[8.724040753764324e-05, 8.724040753764324e-05]",0.630776239091625,85.48498446668968,97.30755954435622
35,2.8642354011535645,"[8.707753876587688e-05, 8.707753876587688e-05]",0.7115547198610632,86.26164998274076,97.16948567483604
36,2.7776534855365753,"[8.691016537908306e-05, 8.691016537908306e-05]",0.702963700325768,85.34691059716948,97.3593372454263
37,2.800313115119934,"[8.673830573163977e-05, 8.673830573163977e-05]",0.6706938422627394,85.95098377632033,97.27304107697618
38,2.903515523672104,"[8.656197866989403e-05, 8.656197866989403e-05]",0.679403413687651,86.65861235761132,97.39385571280636
39,2.8032000064849854,"[8.638120353009517e-05, 8.638120353009517e-05]",0.6322884024691491,86.05453917846047,97.27304107697618
40,2.6801061809062956,"[8.619600013627444e-05, 8.619600013627444e-05]",0.6757027912765361,86.19261304798067,97.34207801173628
41,2.636862540245056,"[8.600638879807103e-05, 8.600638879807103e-05]",0.6584193710627373,85.96824301001035,97.3593372454263
42,2.765796172618866,"[8.581239030850486e-05, 8.581239030850486e-05]",0.6831244303104504,85.96824301001035,97.32481877804625
43,2.669773244857788,"[8.561402594169653e-05, 8.561402594169653e-05]",0.6831221549231964,86.2098722816707,97.37659647911633
44,2.723250126838684,"[8.541131745053417e-05, 8.541131745053417e-05]",0.7025374444468415,86.46876078702105,97.41111494649637
45,2.718761372566223,"[8.520428706428819e-05, 8.520428706428819e-05]",0.6896712250819813,85.95098377632033,97.20400414221609
46,2.9184681296348574,"[8.499295748617345e-05, 8.499295748617345e-05]",0.6585821876618053,86.17535381429065,97.25578184328616
47,2.5965795278549195,"[8.477735189085965e-05, 8.477735189085965e-05]",0.7025618837914221,85.81290990680014,97.25578184328616
48,2.7105181574821473,"[8.455749392192999e-05, 8.455749392192999e-05]",0.6283253520613997,86.26164998274076,97.32481877804625
49,2.5305539965629578,"[8.433340768928834e-05, 8.433340768928834e-05]",0.6801452742060753,85.86468760787021,97.39385571280636
50,2.6543468058109285,"[8.41051177665153e-05, 8.41051177665153e-05]",0.6944231606780722,85.60579910251985,97.15222644114601
51,2.590278273820877,"[8.387264918817353e-05, 8.387264918817353e-05]",0.6584251859412754,85.95098377632033,97.13496720745599
