epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5
0,6.198130768250654,"[3.4000000000000003e-07, 3.4000000000000003e-07]",5.417297257939247,0.44874007594062826,2.623403520883673
1,5.5084893231723395,"[1.7306000000000003e-05, 1.7306000000000003e-05]",5.3050920132896096,0.5177770107007249,2.6061442871936484
2,5.358859924071613,"[3.427200000000001e-05, 3.427200000000001e-05]",5.295532015878495,0.4832585433206766,3.1411805315843977
3,5.345526381609911,"[5.123800000000001e-05, 5.123800000000001e-05]",5.291536772954781,0.5177770107007249,2.623403520883673
4,5.337837660376401,"[6.820400000000001e-05, 6.820400000000001e-05]",5.274216862271315,1.5533310321021747,4.22851225405592
5,5.3203126262216,"[8.517000000000001e-05, 8.517000000000001e-05]",5.086622475837073,2.1919226786330688,10.355540214014498
6,5.063134773529787,"[0.00010213600000000003, 0.00010213600000000003]",3.2309204565067313,25.2847773558854,57.47324818778046
7,4.557248338658542,"[0.00011910200000000003, 0.00011910200000000003]",2.282999519977563,47.704521919226785,81.17017604418363
8,4.231878775326326,"[0.000136068, 0.000136068]",1.8845515700509148,56.62754573696928,86.08905764584053
9,4.127461792313479,"[0.00015303400000000003, 0.00015303400000000003]",1.5625498899723853,61.701760441836385,90.2830514325164
