epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5
0,2.4744821190834045,"[1e-06, 1e-06]",0.7165642798584743,84.24231963047374,96.39282015878494
1,2.4888185262680054,"[5.9e-06, 5.9e-06]",0.7037617713367277,84.96720744545475,96.61719019675526
2,2.5817549228668213,"[1.0800000000000002e-05, 1.0800000000000002e-05]",0.7009514152571625,85.32965135294526,96.65170866413531
3,2.3294872865080833,"[1.5700000000000002e-05, 1.5700000000000002e-05]",0.7015924845475924,85.24335518449514,96.66896789782534
4,2.391799673438072,"[2.0600000000000003e-05, 2.0600000000000003e-05]",0.7013697494175009,85.32965135294526,96.73800483258543
5,2.3484468907117844,"[2.5500000000000003e-05, 2.5500000000000003e-05]",0.7003134640900069,85.36416982032532,96.73800483258543
6,2.448746472597122,"[3.0400000000000004e-05, 3.0400000000000004e-05]",0.6899274168320677,85.0017259128348,96.7207455988954
7,2.519134134054184,"[3.5300000000000004e-05, 3.5300000000000004e-05]",0.7033926529599586,85.12254054866497,96.73800483258543
8,2.2539447769522667,"[4.02e-05, 4.02e-05]",0.6969345982913359,85.10528131497495,96.63444943044529
