epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5,time
0,7.213171733053107,"[3.5e-07, 3.5e-07]",6.398394368555655,0.14208005196070472,0.9742632134448324,1638965502.2233171
1,6.46316323154851,"[7.315e-06, 7.315e-06]",6.3110081594544125,0.25574409352926847,1.2908987578144029,1638966112.8218255
2,6.309511021563881,"[1.428e-05, 1.428e-05]",6.285461975826094,0.2435658033612081,1.3152553381505236,1638966726.1466358
3,6.296943551615665,"[2.1245e-05, 2.1245e-05]",6.279312890720143,0.31257611431355037,1.323374198262564,1638967341.0907083
4,6.277667710655614,"[2.821e-05, 2.821e-05]",6.25377336709426,0.47089388649833563,1.7009011934724365,1638967955.6468346
5,6.269247939712123,"[3.5175e-05, 3.5175e-05]",5.8486888675205,2.796947308597873,11.674920841113908,1638968567.8760417
6,5.822151020953529,"[4.2140000000000006e-05, 4.2140000000000006e-05]",3.7870514964074045,27.12917106438256,54.660225704853104,1638969183.0844715
7,5.270784917630647,"[4.9105000000000005e-05, 4.9105000000000005e-05]",2.6538512891227573,49.40326378190054,76.6339206037423,1638969797.254162
8,4.853196395070929,"[5.6070000000000004e-05, 5.6070000000000004e-05]",2.0557340718113175,56.48290979946415,83.8028740777185,1638970411.3771296
9,4.706430849276091,"[6.3035e-05, 6.3035e-05]",1.7275451675022326,63.948201672794895,88.52805066354536,1638971027.4680502
10,4.407881021499634,"[6.837262916681385e-05, 6.837262916681385e-05]",1.4726042385524072,67.58139157324263,90.39132905740034,1638971641.5174289
11,4.26487325053466,"[6.8034285567728e-05, 6.8034285567728e-05]",1.337702559216936,70.58131038526092,92.16935942193716,1638972262.1606436
12,4.231003839718668,"[6.766506815578436e-05, 6.766506815578436e-05]",1.175705214972193,73.43508971588192,93.78501258423317,1638972883.8518603
13,4.0013033120255725,"[6.726534130399237e-05, 6.726534130399237e-05]",1.182834271865105,74.7747016325103,94.3167979215718,1638973505.235096
14,3.9428967174730802,"[6.683549949449514e-05, 6.683549949449514e-05]",1.0526014128085166,76.34570106480952,95.07185191199156,1638974127.2669346
15,3.7851659404604057,"[6.637596692926322e-05, 6.637596692926322e-05]",1.015646724293659,77.40927174072563,95.51432978809775,1638974746.9684525
16,3.8357682165346647,"[6.588719711145845e-05, 6.588719711145845e-05]",0.9483363789630186,77.61630267358265,95.69294471056264,1638975361.6913083
17,3.8042552910353007,"[6.536967239788113e-05, 6.536967239788113e-05]",0.9355682028649428,78.80977511005257,96.10294714622067,1638975974.9618046
18,3.725763904420953,"[6.4823903522942e-05, 6.4823903522942e-05]",0.8840475736659698,79.6744337101266,96.18007631728506,1638976586.9631617
19,3.6010326398046395,"[6.425042909462916e-05, 6.425042909462916e-05]",0.8942801916938987,79.68661200029466,96.27750263862954,1638977196.8962715
20,3.5467040601529574,"[6.364981506296699e-05, 6.364981506296699e-05]",0.8567529411839327,81.20889827192164,96.5332467321588,1638977805.4162967
21,3.4456393342269096,"[6.302265416149169e-05, 6.302265416149169e-05]",0.8215208147276123,81.37127547354302,96.93918973776081,1638978412.4618912
22,3.4984101057052612,"[6.236956532229498e-05, 6.236956532229498e-05]",0.8040429861928635,81.33474060303884,96.84988227652838,1638979020.671452
23,3.5149903642503837,"[6.169119306521277e-05, 6.169119306521277e-05]",0.812183887741536,81.36721604410643,96.8742388568645,1638979629.180589
24,3.390148394986203,"[6.0988206861761925e-05, 6.0988206861761925e-05]",0.762105267998498,82.51603475057954,97.0366160591053,1638980238.450866
25,3.4952547048267566,"[6.026130047445269e-05, 6.026130047445269e-05]",0.746029409619327,82.93009661567417,97.37760818381099,1638980846.3292997
26,3.3442504751054862,"[5.9511191272128886e-05, 5.9511191272128886e-05]",0.7778151632081168,83.05187951673535,97.22740927173825,1638981453.0148692
27,3.3855502574067367,"[5.8738619522011415e-05, 5.8738619522011415e-05]",0.7482781118702809,83.18178127914742,97.47097507509946,1638982060.2422762
28,3.410787422406046,"[5.7944347659143925e-05, 5.7944347659143925e-05]",0.7381244029783531,82.77989770298201,97.39790533409109,1638982667.1947832
29,3.3404698622854134,"[5.712915953396146e-05, 5.712915953396146e-05]",0.7034478911895145,83.39693107211649,97.48721279532354,1638983273.9184382
30,3.3241321271971653,"[5.629385963872473e-05, 5.629385963872473e-05]",0.7301103982618028,83.67297231654528,97.49533165543558,1638983878.850839
31,3.4107804549367806,"[5.543927231358334e-05, 5.543927231358334e-05]",0.735133804206077,83.53089226458458,97.47097507509946,1638984484.9593666
32,3.346030238427614,"[5.4566240933051625e-05, 5.4566240933051625e-05]",0.7186228851320837,83.97337013945193,97.62523341722822,1638985091.6184487
33,3.229523630518662,"[5.3675627073699834e-05, 5.3675627073699834e-05]",0.6853124270571161,84.1844605029844,97.65770885767638,1638985697.4241703
