epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5
0,5.569205093383789,"[2e-05, 2e-05]",5.308670607525026,0.6040731791508457,2.4680704176734554
1,5.363053178787231,"[3.3e-05, 3.3e-05]",5.2982018035899205,0.5177770107007249,2.77873662409389
2,5.3303029298782345,"[4.6e-05, 4.6e-05]",5.297174339834311,0.5522954780807732,2.761477390403866
3,5.342910265922546,"[5.9e-05, 5.9e-05]",5.293793957110804,0.6731101139109423,2.865032792544011
4,5.347694635391235,"[7.2e-05, 7.2e-05]",5.283747195374525,0.5868139454608216,3.382809803244736
5,5.33378221988678,"[8.499999999999999e-05, 8.499999999999999e-05]",5.224399702278219,0.7594062823610632,4.487400759406283
6,5.291419816017151,"[9.8e-05, 9.8e-05]",5.077024723852261,3.0203658957542285,9.544356230583363
7,5.049706554412841,"[0.00011099999999999999, 0.00011099999999999999]",3.489943799620297,22.22989299275112,53.86606834656541
8,4.677996957302094,"[0.000124, 0.000124]",2.363439010182948,48.44666896789783,79.25440110459095
9,4.363369643688202,"[0.000137, 0.000137]",1.9789916023041076,56.48947186744908,87.09009319986193
10,4.184408855438233,"[0.00014960557646651566, 0.00014960557646651566]",1.5278487174231965,65.23990334829134,91.52571625819813
11,3.8666767358779905,"[0.00014952283912322853, 0.00014952283912322853]",1.4239804916724197,68.570935450466,93.26889886089057
12,3.824952411651611,"[0.0001494322584946424, 0.0001494322584946424]",1.3237154680488437,72.73041076976182,94.11460131170176
13,3.8447537302970884,"[0.00014933384451394394, 0.00014933384451394394]",1.0953950207110805,75.06040731791508,95.20193303417328
14,3.69563969373703,"[0.00014922760797333515, 0.00014922760797333515]",0.9759730482907966,77.23507076285813,95.84052468070418
15,3.4232303738594054,"[0.0001491135605228499, 0.0001491135605228499]",1.0088982810881948,78.44321712115982,95.82326544701415
16,3.423173153400421,"[0.00014899171466907634, 0.00014899171466907634]",0.8941394830926929,79.80669658267173,96.09941318605453
17,3.3906740069389345,"[0.0001488620837737854, 0.0001488620837737854]",0.915932994733237,79.66862271315154,96.39282015878494
18,3.443122947216034,"[0.0001487246820524656, 0.0001487246820524656]",0.8675727567715524,79.80669658267173,96.30652399033482
19,3.4272483229637145,"[0.00014857952457276397, 0.00014857952457276397]",0.8888511881566599,79.54780807732136,96.16845012081464
20,3.0873097658157347,"[0.000148426627252834, 0.000148426627252834]",0.8044969995226743,81.3600276147739,96.41007939247497
21,3.2888447642326355,"[0.0001482660068595898, 0.0001482660068595898]",0.8605916158553029,81.80876769071453,96.47911632723508
22,3.1105346202850344,"[0.00014809768100686752, 0.00014809768100686752]",0.8001006985270323,81.84328615809459,96.65170866413531
23,3.17751339673996,"[0.0001479216681534938, 0.0001479216681534938]",0.8020766827415753,81.429064549534,96.51363479461511
24,3.262079417705536,"[0.00014773798760126143, 0.00014773798760126143]",0.807983777668709,82.36106316879531,96.53089402830514
25,3.117125058174133,"[0.0001475466594928129, 0.0001475466594928129]",0.8068173467433983,82.61995167414567,96.41007939247497
26,3.0899582862854005,"[0.00014734770480943137, 0.00014734770480943137]",0.7731179345012081,81.46358301691404,96.61719019675526
27,3.0101669669151305,"[0.00014714114536873988, 0.00014714114536873988]",0.7761537646029297,82.20573006558509,96.7207455988954
28,3.0143572211265566,"[0.00014692700382230883, 0.00014692700382230883]",0.7611750588566837,83.34483948912668,96.78978253365551
29,3.031597948074341,"[0.00014670530365317193, 0.00014670530365317193]",0.7962291271142561,82.91335864687608,96.61719019675526
30,3.1173063993453978,"[0.00014647606917325104, 0.00014647606917325104]",0.7486581746405225,83.7935795650673,96.68622713151537
31,2.882738506793976,"[0.00014623932552069018, 0.00014623932552069018]",0.7605531618107093,82.46461857093546,96.41007939247497
32,2.961990475654602,"[0.00014599509865709863, 0.00014599509865709863]",0.8078284614202192,82.77528477735588,96.47911632723508
33,2.9675578117370605,"[0.00014574341536470424, 0.00014574341536470424]",0.6973800685515188,83.53469105971695,96.77252329996548
34,2.838056576251984,"[0.00014548430324341617, 0.00014548430324341617]",0.7259671491386563,83.31032102174663,96.5654124956852
35,2.929692566394806,"[0.0001452177907077985, 0.0001452177907077985]",0.711099810957456,83.91439420089748,96.59993096306523
