epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5,time
0,6.649882329137702,3.5e-07,6.5491165665340585,0.15425834212876513,0.9133717675598892,1639215455.500999
1,6.4596181104057715,7.315e-06,6.321909632012665,0.25168466347324836,1.2421855971421611,1639216095.157325
2,6.320830552201522,1.428e-05,6.290237197572461,0.23950637330518795,1.2543638873102216,1639216735.723624
3,6.301100624235053,2.1245e-05,6.283042492084111,0.23138751319314768,1.0148575140050338,1639217376.142839
4,6.27668373208297,2.821e-05,6.227214863095721,0.49525046683445645,2.285459121539336,1639218018.602554
5,6.187691067394457,3.5175e-05,5.174141937971909,10.25412032150686,30.33206137858245,1639218658.5670037
6,5.655387602354351,4.2140000000000006e-05,3.515075708370545,31.111471949338313,59.9415442099807,1639219300.312092
7,5.143722829065825,4.9105000000000005e-05,2.593246376958675,46.69156450434359,76.33758220469747,1639219940.9781754
8,4.899019975411265,5.6070000000000004e-05,1.9682106983741983,56.186571405510186,83.55930827435729,1639220578.1939328
9,4.664971379857314,6.3035e-05,1.6932967392628075,62.65730291494177,88.19517739895171,1639221218.5569782
10,4.462001637408608,6.837262916681385e-05,1.4963913886802793,65.91296582145719,90.09093123325485,1639221857.6495342
11,4.274543291644046,6.8034285567728e-05,1.372592488405253,68.32426727597199,91.92579361919537,1639222498.7842374
12,4.167613151826356,6.766506815578436e-05,1.2265720142891938,71.94121945712477,93.00966144353333,1639223136.9316788
13,4.022463393838782,6.726534130399237e-05,1.1841523973471624,72.98855240910028,93.82560688479337,1639223779.7360954
14,4.063785339656629,6.683549949449514e-05,1.1073463949723958,74.62450272291524,94.81610781846229,1639224421.8408122
15,3.8772704726771305,6.637596692926322e-05,1.009376133786129,76.44718681806827,95.23016968417635,1639225063.5538473
16,3.8999449547968412,6.588719711145845e-05,0.9711032801463425,77.35649914875853,95.63611268977836,1639225706.6507988
17,3.765845543459842,6.536967239788113e-05,0.9952070182471381,77.60412438403401,95.81878704415752,1639226347.8147223
18,3.712612519138738,6.4823903522942e-05,0.9019510873563976,78.79759682050394,96.30185921896566,1639226991.7289014
19,3.7268338140688444,6.425042909462916e-05,0.896878623358468,79.4633433484524,96.29374035885361,1639227631.0636892
20,3.5544695164027966,6.364981506296699e-05,0.8328036120681781,79.95859381528686,96.62661362344727,1639228270.9928958
21,3.549974466625013,6.302265416149169e-05,0.8858768939778355,80.19810018797263,96.78087196619545,1639228914.67854
22,3.562822360741465,6.236956532229498e-05,0.8196425354692701,81.20889827192164,96.73215880490379,1639229556.9452958
23,3.6175315474209033,6.169119306521277e-05,0.7848869163300722,81.39969148393516,96.84988227652838,1639230199.121862
24,3.4744298018907247,6.0988206861761925e-05,0.7948720042674758,81.48899894640644,96.90265486787605,1639230841.7382107
25,3.5351909210807397,6.026130047445269e-05,0.7984250362811561,81.64325728729636,96.99196232848908,1639231482.4134853
26,3.4064338520953528,5.9511191272128886e-05,0.8357177992053666,82.49979702973604,97.13404238044978,1639232125.0006936
27,3.4302252201657546,5.8738619522011415e-05,0.7708127454686612,81.82999107173156,97.27612243302991,1639232766.943348
