epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5
0,6.294167228367018,"[2e-06, 2e-06]",5.4179916724197446,0.6385916465308941,2.8477735588539868
1,5.674765420996624,"[5.18e-05, 5.18e-05]",5.319453583448395,0.6903693476009665,2.8132550914739385
2,5.3751104603643,"[0.00010159999999999999, 0.00010159999999999999]",5.298343383241284,0.5005177770107008,2.8995512599240594
3,5.348719171855761,"[0.0001514, 0.0001514]",5.29579360113911,0.5522954780807732,2.7959958577839146
4,5.344094867291658,"[0.00020119999999999998, 0.00020119999999999998]",5.293483830255437,0.6385916465308941,3.7107352433551952
5,5.338861579480379,"[0.000251, 0.000251]",5.284793536416983,0.9492578529513289,4.02140144977563
6,5.330979347229004,"[0.0003008, 0.0003008]",5.2507955428029,1.2426648256817396,8.008284432171212
7,5.295482873916626,"[0.00035059999999999996, 0.00035059999999999996]",4.751895818950638,5.868139454608215,21.418709006686438
8,5.009055998014367,"[0.0004004, 0.0004004]",3.44474213626165,21.280635139141406,54.26303070826822
9,4.7179257766060205,"[0.0004502, 0.0004502]",3.090935935881947,31.826026921112618,65.56782877260049
10,4.518521339997001,"[0.00048800884649231267, 0.00048800884649231267]",2.5052344019675528,41.560234725578184,75.49188814436438
11,4.4256185396857886,"[0.00048551578839378526, 0.00048551578839378526]",2.3211013009147394,46.27200552953865,80.27269590547013
12,4.267186107842819,"[0.0004827952390426216, 0.0004827952390426216]",1.900023529189679,53.520883670131376,85.69209526043576
13,4.05898884586666,"[0.0004798498832925754, 0.0004798498832925754]",2.2141752917889197,50.82844320922051,81.7224715117302
14,4.204479046489881,"[0.0004766826278541748, 0.0004766826278541748]",1.6274358441922678,61.30479805906518,89.04038659103335
15,4.001898532328398,"[0.0004732965984261501, 0.0004732965984261501]",1.465246914911978,64.49775630752094,90.921643063246
16,3.8709916809330815,"[0.00046969513661074654, 0.00046969513661074654]",1.4439169291508458,66.44804973029498,91.40490161710086
17,3.8833598675935166,"[0.0004658817966159662, 0.0004658817966159662]",1.537880309911115,63.237832233664655,90.40386605254527
18,3.897495316422504,"[0.0004618603417479937, 0.0004618603417479937]",1.4245442820698135,65.51605110576658,90.7145322694999
19,3.8856170229289844,"[0.00045763474069726763, 0.00045763474069726763]",1.3760913431459267,67.22471523581187,91.40490161183376
20,3.8217666771100913,"[0.00045320916362186214, 0.00045320916362186214]",1.4216609450509148,69.34760095071579,92.26786329633498
21,3.6626977661381597,"[0.0004485879780320441, 0.0004485879780320441]",1.301634604493873,69.07145324591156,92.7856403175699
22,3.70895807121111,"[0.0004437757444800684, 0.0004437757444800684]",1.1588786621936487,71.31515361508049,93.40697271987656
23,3.4684833443683125,"[0.0004387772120594626, 0.0004387772120594626]",1.1777594885333966,71.90196754210646,93.01001035554022
24,3.560922736706941,"[0.00043359731371824586, 0.00043359731371824586]",1.091303705881084,72.50604072915796,93.33793578511647
25,3.44483338749927,"[0.0004282411613907041, 0.0004282411613907041]",1.174882219213842,71.45322745826519,93.73489816525412
26,3.609335676483486,"[0.0004227140409525287, 0.0004227140409525287]",1.2040874045348637,72.38522609859488,93.19986192086338
27,3.4499611543572466,"[0.0004170214070042947, 0.0004170214070042947]",1.1572633057904729,72.41974457650913,93.32067655669356
28,3.5155736259792163,"[0.000411168877488429, 0.000411168877488429]",1.0533384481791508,73.1791508694044,93.51052812728382
29,3.472447079160939,"[0.0004051622281449793, 0.0004051622281449793]",1.0282164874223334,74.80151882573247,94.26993441491197
30,3.4235558198845903,"[0.000399007386811656, 0.000399007386811656]",1.03539491284087,75.26751814063023,94.25267518122196
31,3.3061724331067954,"[0.00039271042757377207, 0.00039271042757377207]",1.078942959581032,74.52537109722628,93.89023126846435
32,3.4219369525494785,"[0.0003862775647698542, 0.0003862775647698542]",1.065638011844149,74.37003798348186,93.7866758610571
33,3.3365957477818364,"[0.000379715146858841, 0.000379715146858841]",1.058632515856921,74.54263032564921,93.87297202950722
34,3.413100543229476,"[0.0003730296501549202, 0.0003730296501549202]",0.9897574706862703,74.93959266628362,93.95926820849154
35,3.218886831532354,"[0.000366227672436189, 0.000366227672436189]",0.9768916726894201,76.61373837371922,94.51156368130522
36,3.542829078176747,"[0.00035931592643344284, 0.00035931592643344284]",1.1236657803331032,75.59544357020648,94.09734206747754
37,3.3555011541947075,"[0.00035230123320552126, 0.00035230123320552126]",1.0490578548390577,75.09492579846288,94.33897133913787
38,3.234498267588408,"[0.00034519051540774615, 0.00034519051540774615]",1.069538362692009,75.97514672718832,94.45978598023514
39,3.224723193956458,"[0.00033799079046009645, 0.00033799079046009645]",1.080450277226441,75.12944426584293,93.8557127958172
40,3.284029729988264,"[0.00033070916362186215, 0.00033070916362186215]",1.0130828025220056,76.68277530847931,94.40800827389798
41,3.2254975619523423,"[0.00032335282097961123, 0.00032335282097961123]",0.984535456938212,77.83914392620767,94.4252675181222
42,3.1411794838698013,"[0.0003159290223553894, 0.0003159290223553894]",0.9967686130048325,77.92544012889394,94.75319295296555
43,3.16811166898064,"[0.00030844509414215297, 0.00030844509414215297]",0.9721629966074818,77.89092162727775,94.97756299620296
44,3.482511494470679,"[0.00030090842207350257, 0.00030090842207350257]",1.095498508694339,75.11218503742,93.47600965990377
45,3.1706254534099414,"[0.0002933264439348566, 0.0002933264439348566]",0.92846553277097,78.1498101326281,94.7877114256127
46,3.2451186439265376,"[0.0002857066422232546, 0.0002857066422232546]",0.9109549951997756,78.21884710162436,95.09837763203313
47,3.067775285762289,"[0.00027805653676303603, 0.00027805653676303603]",0.9002075827364515,77.99447705838695,95.09837763203313
48,3.129942888798921,"[0.0002703836772846818, 0.0002703836772846818]",0.8734717825012944,79.72040043792356,95.2882291920892
49,2.9156750207361966,"[0.0002626956359741414, 0.0002626956359741414]",0.8534588245922506,78.9609941450283,95.2191922678633
50,2.9951458677001623,"[0.000255, 0.000255]",0.8615610572359337,79.92751123693675,95.39178459949645
